城市id	城市名称
2	北京市
3	北京市朝阳区
4	北京市通州区
5	昌平区
6	顺义区
7	怀柔区
8	大兴区
9	平谷区
10	密云区
11	延庆区
12	丰台区
13	石景山区
14	房山区
15	门头沟区
16	八达岭
17	佛爷顶
18	汤河口
20	斋堂
21	霞云岭
22	海淀区
24	天津市
25	宝坻区
26	武清区
27	宁河区
28	静海区
29	蓟州区
30	东丽区
31	西青区
32	北辰区
33	汉沽
34	津南区
35	塘沽
36	大港
37	滨海新区
39	上海市
40	嘉定区
41	浦东新区
42	金山区
43	松江区
44	青浦区
45	南汇
46	奉贤区
47	崇明区
48	上海市宝山区
49	徐汇区
50	闵行区
52	重庆市
53	黔江区
54	北碚区
57	巴南区
59	长寿区
60	合川区
61	永川区
62	江津区
63	南川区
64	綦江区
65	潼南区
66	铜梁区
67	大足区
68	荣昌区
69	璧山区
70	垫江县
71	武隆区
72	丰都县
73	城口县
74	梁平区
75	开州区
76	巫溪县
77	巫山县
78	奉节县
79	云阳县
80	忠县
81	石柱土家族自治县
82	秀山土家族苗族自治县
83	酉阳土家族苗族自治县
84	彭水苗族土家族自治县
85	万盛经济技术开发区
86	渝北区
87	涪陵区
89	万州区
94	沈阳市
96	苏家屯区
97	新民市
98	辽中区
99	法库县
100	康平县
101	沈北新区
102	弓长岭区
104	大连市
105	旅顺口区
106	金州区
107	瓦房店市
108	普兰店区
109	庄河市
110	长海县
111	皮口镇
113	鞍山市
114	海城市
115	台安县
116	岫岩满族自治县
118	抚顺市
120	清原满族自治县
121	新宾满族自治县
122	章党镇
124	本溪市
125	本溪满族自治县
126	桓仁满族自治县
127	草河口镇
129	丹东市
130	东港市
131	凤城市
132	宽甸满族自治县
135	锦州市
136	凌海市
137	北镇市
138	黑山县
139	义县
142	营口市
143	盖州市
144	大石桥市
146	阜新市
147	彰武县
150	辽阳市
151	灯塔市
152	辽阳县
154	盘锦市
155	大洼区
156	盘山县
158	铁岭市
160	开原市
162	西丰县
163	昌图县
164	调兵山市
165	铁法
167	朝阳市
168	北票市
169	凌源市
171	建平镇
172	喀喇沁左翼蒙古族自治县
173	调兵山市羊山镇
174	建平县
176	葫芦岛市
177	兴城市
178	绥中县
179	建昌县
182	长春市
183	双阳区
184	九台区
185	榆树市
186	德惠市
187	农安县
189	吉林市
190	舒兰市
191	桦甸市
192	蛟河市
193	磐石市
194	永吉县
195	烟筒山
197	四平市
198	公主岭市
199	双辽市
200	梨树县
201	伊通满族自治县
204	辽源市
205	东辽县
206	东丰县
208	通化市
209	梅河口市
210	集安市
211	辉南县
212	通化县
213	柳河县
215	白山市
216	靖宇县
217	抚松县
218	长白朝鲜族自治县
219	东岗镇
220	临江市
221	江源区
223	白城市
224	洮南市
225	大安市
226	镇赉县
227	通榆县
229	松原市
231	扶余市
232	长岭县
233	乾安县
234	前郭尔罗斯蒙古族自治县
236	延边朝鲜族自治州
237	延吉市
238	图们市
239	敦化市
240	龙井市
241	珲春市
242	和龙市
243	安图县
244	汪清县
245	二道白河镇
246	安图县松江镇
247	罗子沟镇
250	哈尔滨市
252	呼兰区
253	双城区
254	尚志市
